Date;Electrolyseur;I_kA;U_V;QHCl_L_h;%O2_Mesure
2026-01-01;303;13,9;347,6;174,6;0,26
2026-01-01;304;14,3;348,6;185,6;0,14
2026-01-01;305;13,6;346,7;166,8;0,13
2026-01-01;306;13,8;347,4;175,3;0,14
2026-01-01;307;14,1;348,0;169,2;0,12
2026-01-02;303;15,2;351,0;200,7;0,3
2026-01-02;304;15,1;350,7;207,6;0,31
2026-01-02;305;15,1;350,7;190,8;0,3
2026-01-02;306;15,0;350,5;200,4;0,28
2026-01-02;307;14,9;350,1;183,3;0,28
2026-01-03;303;13,3;346,0;169,9;0,12
2026-01-03;304;13,4;346,3;175,1;0,17
2026-01-03;305;13,5;346,3;166,3;0,2
2026-01-03;306;13,3;346,0;168,4;0,27
2026-01-03;307;13,1;345,3;164,8;0,21
2026-01-04;303;15,9;352,9;213,9;0,12
2026-01-04;304;15,9;353,0;223,2;0,3
2026-01-04;305;15,8;352,6;206,2;0,12
2026-01-04;306;15,8;352,7;213,7;0,19
2026-01-04;307;15,7;352,4;200,8;0,17
2026-01-05;303;14,6;349,3;190,9;0,11
2026-01-05;304;14,4;348,9;188,4;0,13
2026-01-05;305;14,7;349,5;186,9;0,26
2026-01-05;306;14,7;349,8;184,4;0,12
2026-01-05;307;14,9;350,3;183,7;0,15
2026-01-06;303;14,9;350,3;194,8;0,13
2026-01-06;304;15,1;350,7;203,4;0,22
2026-01-06;305;15,2;350,8;192,0;0,18
2026-01-06;306;15,0;350,6;198,3;0,14
2026-01-06;307;15,0;350,5;189,0;0,25
2026-01-07;303;14,8;349,9;190,3;0,29
2026-01-07;304;15,2;351,1;208,3;0,16
2026-01-07;305;15,1;350,7;189,9;0,21
2026-01-07;306;15,1;350,9;200,9;0,16
2026-01-07;307;14,9;350,3;184,9;0,18
2026-01-08;303;15,7;352,5;211,3;0,25
2026-01-08;304;15,6;352,1;214,0;0,25
2026-01-08;305;15,7;352,4;207,7;0,28
2026-01-08;306;15,7;352,8;210,0;0,25
2026-01-08;307;15,8;352,5;206,7;0,12
2026-01-09;303;14,4;348,9;185,1;0,11
2026-01-09;304;14,8;350,0;200,5;0,27
2026-01-09;305;15,2;351,2;191,6;0,31
2026-01-09;306;14,9;350,2;192,1;0,2
2026-01-09;307;14,6;349,6;178,5;0,16
2026-01-10;303;14,6;349,5;183,8;0,23
2026-01-10;304;14,9;350,2;198,6;0,2
2026-01-10;305;14,8;349,8;187,3;0,2
2026-01-10;306;14,6;349,5;184,4;0,21
2026-01-10;307;14,4;348,8;173,5;0,23
2026-01-11;303;15,7;352,6;209,7;0,18
2026-01-11;304;15,8;352,8;221,3;0,12
