Date;Electrolyseur;I_kA;U_V;QHCl_L_h;%O2_Mesure
2025-04-01;303;13,9;348,0;324,2;0,26
2025-04-01;304;14,3;349,1;344,7;0,14
2025-04-01;305;13,6;347,2;313,2;0,13
2025-04-01;306;13,8;347,8;328,8;0,14
2025-04-01;307;14,1;348,4;321,0;0,12
2025-04-02;303;15,2;351,4;364,3;0,3
2025-04-02;304;15,1;351,1;375,5;0,31
2025-04-02;305;15,1;351,2;353,3;0,3
2025-04-02;306;15,0;351,0;367,3;0,28
2025-04-02;307;14,9;350,5;343,7;0,28
2025-04-03;303;13,3;346,4;313,1;0,12
2025-04-03;304;13,4;346,7;324,1;0,17
2025-04-03;305;13,5;346,7;311,6;0,2
2025-04-03;306;13,3;346,4;316,3;0,27
2025-04-03;307;13,1;345,7;305,8;0,21
2025-04-04;303;15,9;353,3;385,0;0,12
2025-04-04;304;15,9;353,5;400,0;0,3
2025-04-04;305;15,8;353,1;376,2;0,12
2025-04-04;306;15,8;353,2;389,5;0,19
2025-04-04;307;15,7;352,9;369,7;0,17
2025-04-05;303;14,6;349,7;348,1;0,11
2025-04-05;304;14,4;349,4;348,5;0,13
2025-04-05;305;14,7;350,0;345,2;0,26
2025-04-05;306;14,7;350,2;347,9;0,12
2025-04-05;307;14,9;350,8;344,0;0,15
2025-04-06;303;14,9;350,7;355,2;0,13
2025-04-06;304;15,1;351,2;371,3;0,22
2025-04-06;305;15,2;351,3;355,6;0,18
2025-04-06;306;15,0;351,0;365,1;0,14
2025-04-06;307;15,0;351,0;350,4;0,25
2025-04-07;303;14,8;350,3;349,5;0,29
2025-04-07;304;15,2;351,5;377,3;0,16
2025-04-07;305;15,1;351,2;352,4;0,21
2025-04-07;306;15,1;351,3;368,9;0,16
2025-04-07;307;14,9;350,7;345,3;0,18
2025-04-08;303;15,7;352,9;380,3;0,25
2025-04-08;304;15,6;352,6;387,5;0,25
2025-04-08;305;15,7;352,9;376,6;0,28
2025-04-08;306;15,7;353,3;384,6;0,25
2025-04-08;307;15,8;353,0;376,8;0,12
2025-04-09;303;14,4;349,4;340,1;0,11
2025-04-09;304;14,8;350,5;365,1;0,27
2025-04-09;305;15,2;351,7;355,2;0,31
2025-04-09;306;14,9;350,6;357,8;0,2
2025-04-09;307;14,6;350,0;335,7;0,16
2025-04-10;303;14,6;349,9;340,9;0,23
2025-04-10;304;14,9;350,7;364,3;0,2
2025-04-10;305;14,8;350,2;346,6;0,2
2025-04-10;306;14,6;349,9;346,7;0,21
2025-04-10;307;14,4;349,3;328,5;0,23
2025-04-11;303;15,7;353,1;378,7;0,18
2025-04-11;304;15,8;353,2;397,0;0,12
2025-04-11;305;15,7;352,8;372,3;0,29
2025-04-11;306;16,1;353,9;401,1;0,27
2025-04-11;307;15,5;352,2;364,8;0,3
2025-04-12;303;15,8;353,1;383,1;0,3
