Date;Electrolyseur;I_kA;U_V;QHCl_L_h;%O2_Mesure
2025-07-01;303;15,2;351,8;535,3;0,1
2025-07-01;304;14,8;350,8;529,2;0,3
2025-07-01;305;15,5;352,5;543,3;0,14
2025-07-01;306;15,0;351,4;529,7;0,28
2025-07-01;307;14,9;350,8;510,2;0,22
2025-07-02;303;13,7;347,6;472,8;0,3
2025-07-02;304;14,1;348,6;498,4;0,22
2025-07-02;305;13,9;348,2;473,6;0,28
2025-07-02;306;14,5;349,8;508,6;0,14
2025-07-02;307;13,9;348,2;466,5;0,14
2025-07-03;303;13,2;346,3;463,8;0,15
2025-07-03;304;13,2;346,2;473,0;0,15
2025-07-03;305;12,8;345,3;443,2;0,25
2025-07-03;306;12,8;345,0;455,5;0,29
2025-07-03;307;13,3;346,5;456,3;0,13
2025-07-04;303;14,9;351,0;522,4;0,21
2025-07-04;304;15,6;352,9;560,7;0,16
2025-07-04;305;15,3;352,2;534,5;0,28
2025-07-04;306;15,3;352,0;549,7;0,29
2025-07-04;307;15,0;351,2;518,8;0,28
2025-07-05;303;15,7;353,3;556,9;0,11
2025-07-05;304;15,7;353,4;571,4;0,2
2025-07-05;305;15,5;352,5;547,8;0,12
2025-07-05;306;15,4;352,5;547,6;0,26
2025-07-05;307;15,7;353,4;546,7;0,11
2025-07-06;303;15,6;353,0;552,9;0,21
2025-07-06;304;15,6;353,1;567,4;0,3
2025-07-06;305;15,2;351,8;528,1;0,24
2025-07-06;306;15,1;351,6;533,8;0,16
2025-07-06;307;15,3;352,0;532,7;0,19
2025-07-07;303;15,8;353,4;560,8;0,25
2025-07-07;304;15,6;352,9;564,4;0,31
2025-07-07;305;15,6;352,8;553,0;0,23
2025-07-07;306;15,9;353,8;573,0;0,27
2025-07-07;307;15,5;352,8;541,3;0,16
2025-07-08;303;13,1;346,0;461,9;0,25
2025-07-08;304;13,0;345,9;468,0;0,15
2025-07-08;305;13,2;346,4;462,4;0,28
2025-07-08;306;12,9;345,5;461,5;0,27
2025-07-08;307;13,1;345,9;451,2;0,1
