Date;Electrolyseur;I_kA;U_V;QHCl_L_h;%O2_Mesure
2025-10-01;303;12,9;344,9;167,3;0,14
2025-10-01;304;13,1;345,5;173,3;0,15
2025-10-01;305;13,3;345,8;170,0;0,19
2025-10-01;306;13,2;345,6;172,0;0,26
2025-10-01;307;13,1;345,1;162,8;0,2
2025-10-02;303;14,4;348,8;181,0;0,22
2025-10-02;304;14,2;348,4;183,5;0,24
2025-10-02;305;14,5;349,4;179,2;0,18
2025-10-02;306;14,1;348,2;179,5;0,11
2025-10-02;307;14,1;347,9;167,6;0,26
2025-10-03;303;13,3;345,8;168,8;0,28
2025-10-03;304;13,8;347,5;177,9;0,1
2025-10-03;305;13,7;346,9;169,3;0,2
2025-10-03;306;13,6;346,7;175,5;0,15
2025-10-03;307;13,1;345,4;161,4;0,28
2025-10-04;303;14,7;349,7;187,8;0,22
2025-10-04;304;15,4;351,6;206,1;0,16
2025-10-04;305;15,1;350,8;194,6;0,25
2025-10-04;306;14,6;349,4;185,2;0,25
2025-10-04;307;15,0;350,4;183,7;0,17
2025-10-05;303;14,7;349,7;193,5;0,19
2025-10-05;304;14,4;349,0;185,0;0,32
2025-10-05;305;14,4;348,6;180,8;0,23
2025-10-05;306;14,7;349,7;187,5;0,27
2025-10-05;307;14,2;348,3;169,5;0,22
2025-10-06;303;15,8;352,8;213,3;0,32
2025-10-06;304;15,6;352,4;215,3;0,16
2025-10-06;305;15,8;352,7;209,8;0,11
2025-10-06;306;16,1;353,6;219,7;0,26
2025-10-06;307;15,9;352,9;207,5;0,13
2025-10-07;303;14,9;350,2;197,7;0,26
2025-10-07;304;14,4;348,8;190,3;0,31
2025-10-07;305;14,6;349,4;183,0;0,1
2025-10-07;306;14,6;349,5;187,9;0,29
2025-10-07;307;14,9;350,2;183,6;0,15
2025-10-08;303;15,8;352,6;215,4;0,15
2025-10-08;304;15,7;352,4;214,7;0,3
2025-10-08;305;15,6;352,1;207,1;0,3
2025-10-08;306;15,6;352,1;211,9;0,22
2025-10-08;307;15,5;351,6;198,0;0,21
2025-10-09;303;14,6;349,6;190,7;0,23
2025-10-09;304;14,6;349,6;188,7;0,19
2025-10-09;305;14,8;349,9;189,1;0,23
2025-10-09;306;14,5;349,1;185,5;0,25
2025-10-09;307;14,7;349,8;182,0;0,29
2025-10-10;303;14,9;350,3;194,8;0,23
2025-10-10;304;15,5;351,9;215,7;0,13
2025-10-10;305;15,3;351,3;198,5;0,27
2025-10-10;306;15,3;351,3;204,4;0,21
2025-10-10;307;15,0;350,4;192,6;0,22
2025-10-11;303;15,6;352,3;211,5;0,13
2025-10-11;304;15,8;352,6;216,1;0,3
2025-10-11;305;15,8;352,6;208,2;0,3
2025-10-11;306;15,7;352,5;210,5;0,12
2025-10-11;307;15,3;351,2;196,2;0,17
2025-10-12;303;13,3;345,7;173,9;0,26
2025-10-12;304;13,6;346,7;176,0;0,15
2025-10-12;305;13,3;345,9;165,0;0,16
2025-10-12;306;13,2;345,7;172,5;0,25
2025-10-12;307;13,6;346,8;169,1;0,12
2025-10-13;303;15,4;351,7;202,8;0,18
2025-10-13;304;15,6;352,4;213,8;0,18
2025-10-13;305;15,8;352,6;206,0;0,28
2025-10-13;306;15,2;351,1;203,2;0,15
2025-10-13;307;15,8;352,5;203,3;0,12
2025-10-14;303;15,8;352,6;215,1;0,22
2025-10-14;304;16,1;353,6;225,7;0,25
2025-10-14;305;15,9;352,7;212,3;0,22
2025-10-14;306;15,9;353,1;218,3;0,14
2025-10-14;307;15,8;352,7;203,4;0,17
2025-10-15;303;13,3;345,8;169,8;0,2
2025-10-15;304;13,2;345,7;181,5;0,21
2025-10-15;305;13,4;346,2;164,8;0,17
2025-10-15;306;13,4;346,0;173,4;0,31
2025-10-15;307;13,2;345,6;162,7;0,2
2025-10-16;303;14,2;348,2;182,1;0,17
2025-10-16;304;14,1;348,1;182,0;0,21
2025-10-16;305;14,4;348,8;177,5;0,15
2025-10-16;306;14,5;349,2;182,6;0,14
2025-10-16;307;14,0;347,7;169,2;0,2
2025-10-17;303;15,0;350,4;195,4;0,24
2025-10-17;304;14,7;349,6;194,8;0,19
2025-10-17;305;14,8;350,0;186,5;0,17
2025-10-17;306;14,7;349,7;191,7;0,27
2025-10-17;307;14,7;349,6;178,0;0,3
2025-10-18;303;13,6;346,4;172,0;0,3
2025-10-18;304;13,8;347,3;181,8;0,15
2025-10-18;305;13,3;345,7;165,5;0,11
2025-10-18;306;13,6;346,9;173,1;0,14
2025-10-18;307;13,6;346,7;166,9;0,3
2025-10-19;303;15,2;351,2;201,2;0,24
2025-10-19;304;14,7;349,7;196,4;0,19
2025-10-19;305;14,5;349,1;181,0;0,17
2025-10-19;306;15,2;351,0;200,6;0,22
2025-10-19;307;14,9;350,2;190,8;0,1
2025-10-20;303;15,2;351,2;198,1;0,31
2025-10-20;304;15,5;352,0;214,9;0,29
2025-10-20;305;15,4;351,4;200,0;0,23
2025-10-20;306;15,0;350,7;194,8;0,27
2025-10-20;307;15,6;352,2;198,2;0,28
2025-10-21;303;15,3;351,3;205,2;0,12
2025-10-21;304;15,4;351,7;210,1;0,18
2025-10-21;305;15,6;352,0;205,8;0,18
2025-10-21;306;15,8;352,6;215,8;0,16
2025-10-21;307;15,5;351,7;197,3;0,12
2025-10-22;303;14,2;348,4;176,7;0,21
2025-10-22;304;13,9;347,6;183,6;0,23
2025-10-22;305;14,3;348,5;175,1;0,2
2025-10-22;306;14,0;348,0;178,5;0,31
2025-10-22;307;14,2;348,4;170,0;0,22
2025-10-23;303;15,8;352,6;212,8;0,3
2025-10-23;304;15,7;352,6;215,5;0,13
2025-10-23;305;15,5;351,8;203,1;0,2
2025-10-23;306;15,6;352,0;209,6;0,23
2025-10-23;307;15,6;352,2;199,5;0,21
2025-10-24;303;15,2;350,9;198,3;0,12
2025-10-24;304;14,8;350,1;194,8;0,28
2025-10-24;305;14,6;349,2;181,2;0,11
2025-10-24;306;14,9;350,4;193,5;0,19
2025-10-24;307;15,0;350,5;187,0;0,23
2025-10-25;303;15,7;352,5;214,0;0,16
2025-10-25;304;15,7;352,4;222,5;0,25
2025-10-25;305;15,8;352,6;204,1;0,13
2025-10-25;306;15,9;352,9;213,8;0,31
2025-10-25;307;15,7;352,2;196,8;0,12
2025-10-26;303;16,0;353,2;214,6;0,2
2025-10-26;304;15,8;352,9;215,6;0,26
2025-10-26;305;16,1;353,2;215,7;0,15
2025-10-26;306;16,2;353,7;223,1;0,32
2025-10-26;307;15,7;352,2;200,5;0,19
2025-10-27;303;15,4;351,7;205,2;0,23
2025-10-27;304;14,9;350,2;199,9;0,28
2025-10-27;305;15,3;351,3;197,4;0,12
2025-10-27;306;15,1;350,8;202,9;0,18
2025-10-27;307;15,2;350,9;193,3;0,23
2025-10-28;303;14,7;349,6;191,4;0,17
2025-10-28;304;14,7;349,8;195,8;0,11
2025-10-28;305;14,7;349,9;186,6;0,29
2025-10-28;306;14,7;349,6;188,2;0,14
2025-10-28;307;14,8;349,9;180,9;0,3
2025-10-29;303;13,6;346,7;172,6;0,1
2025-10-29;304;13,8;347,3;183,0;0,21
2025-10-29;305;14,0;347,8;171,2;0,29
2025-10-29;306;13,9;347,6;172,1;0,23
2025-10-29;307;13,7;347,0;157,1;0,16
2025-10-30;303;15,9;352,8;216,3;0,32
2025-10-30;304;16,1;353,4;227,1;0,16
2025-10-30;305;15,6;352,2;205,9;0,11
2025-10-30;306;15,6;352,0;209,4;0,2
2025-10-30;307;15,8;352,5;194,7;0,25
2025-10-31;303;13,0;345,2;173,8;0,29
2025-10-31;304;13,3;345,9;178,7;0,11
2025-10-31;305;13,3;345,9;163,7;0,21
2025-10-31;306;13,0;345,0;176,4;0,26
2025-10-31;307;13,2;345,6;165,3;0,27
2025-11-01;303;16,0;353,3;216,5;0,2
2025-11-01;304;15,5;351,9;205,6;0,14
2025-11-01;305;15,9;352,8;209,8;0,23
2025-11-01;306;15,5;352,0;209,8;0,19
2025-11-01;307;16,0;353,4;205,3;0,17
2025-11-02;303;13,7;346,9;178,9;0,11
2025-11-02;304;13,3;345,9;175,2;0,11
2025-11-02;305;12,9;344,7;163,7;0,31
2025-11-02;306;13,1;345,3;176,2;0,16
2025-11-02;307;12,9;344,9;162,8;0,25
2025-11-03;303;14,3;348,5;182,9;0,17
2025-11-03;304;14,1;348,0;184,7;0,11
2025-11-03;305;14,1;347,9;175,4;0,13
2025-11-03;306;14,2;348,3;177,0;0,22
2025-11-03;307;14,0;347,8;168,7;0,2
2025-11-04;303;13,5;346,4;173,8;0,18
2025-11-04;304;13,5;346,4;182,0;0,28
2025-11-04;305;14,0;347,7;177,4;0,21
2025-11-04;306;13,9;347,6;173,0;0,18
2025-11-04;307;13,3;345,9;164,7;0,31
2025-11-05;303;15,2;350,9;203,9;0,23
2025-11-05;304;14,9;350,2;196,7;0,13
2025-11-05;305;14,8;349,9;185,6;0,17
2025-11-05;306;15,0;350,6;199,4;0,27
2025-11-05;307;14,6;349,7;177,2;0,26
2025-11-06;303;14,5;349,2;187,3;0,13
2025-11-06;304;14,0;347,9;179,1;0,27
2025-11-06;305;13,8;347,2;169,8;0,32
2025-11-06;306;13,9;347,5;173,7;0,28
2025-11-06;307;14,4;348,8;168,3;0,2
2025-11-07;303;13,4;346,3;171,1;0,25
2025-11-07;304;13,8;347,3;178,4;0,13
2025-11-07;305;13,1;345,3;169,3;0,26
2025-11-07;306;13,4;346,4;168,2;0,19
2025-11-07;307;13,6;346,8;162,5;0,3
2025-11-08;303;13,5;346,3;172,8;0,3
2025-11-08;304;13,1;345,5;178,7;0,17
2025-11-08;305;13,1;345,3;171,0;0,26
2025-11-08;306;13,2;345,7;169,2;0,13
2025-11-08;307;13,5;346,5;161,7;0,27
2025-11-09;303;14,4;348,9;185,1;0,24
2025-11-09;304;14,1;348,1;187,4;0,14
2025-11-09;305;14,4;348,8;181,8;0,23
2025-11-09;306;14,6;349,5;186,0;0,2
2025-11-09;307;14,7;349,8;178,5;0,21
2025-11-10;303;14,2;348,4;177,3;0,22
2025-11-10;304;13,9;347,9;179,2;0,26
2025-11-10;305;14,5;349,2;183,5;0,27
2025-11-10;306;14,1;348,2;179,5;0,12
2025-11-10;307;14,2;348,3;172,2;0,25
2025-11-11;303;14,4;349,0;181,1;0,18
2025-11-11;304;14,3;348,7;184,3;0,11
2025-11-11;305;14,1;347,9;173,4;0,31
2025-11-11;306;14,1;348,1;176,4;0,1
2025-11-11;307;14,1;348,1;168,5;0,22
2025-11-12;303;14,7;349,7;188,9;0,12
2025-11-12;304;14,4;348,9;186,8;0,2
2025-11-12;305;14,4;348,9;181,6;0,25
2025-11-12;306;14,7;349,8;192,8;0,16
2025-11-12;307;14,7;349,6;180,6;0,26
2025-11-13;303;14,8;349,9;193,4;0,26
2025-11-13;304;14,8;349,9;195,1;0,3
2025-11-13;305;14,9;350,0;189,8;0,3
2025-11-13;306;14,7;349,8;185,6;0,26
2025-11-13;307;14,8;349,9;183,7;0,16
2025-11-14;303;13,0;345,1;169,9;0,29
2025-11-14;304;13,0;345,2;177,5;0,15
2025-11-14;305;12,7;344,3;167,2;0,26
2025-11-14;306;12,8;344,6;168,4;0,22
2025-11-14;307;12,8;344,5;155,1;0,25
2025-11-15;303;14,0;347,7;176,5;0,2
2025-11-15;304;14,1;348,3;180,6;0,27
2025-11-15;305;13,9;347,3;174,7;0,15
2025-11-15;306;14,0;347,7;170,5;0,24
2025-11-15;307;14,5;349,4;180,9;0,3
2025-11-16;303;13,0;345,0;173,2;0,21
2025-11-16;304;13,3;346,1;177,3;0,26
2025-11-16;305;13,4;346,2;170,0;0,28
2025-11-16;306;13,1;345,4;172,1;0,19
2025-11-16;307;13,5;346,2;162,0;0,13
2025-11-17;303;13,1;345,3;170,0;0,12
2025-11-17;304;13,2;345,8;175,4;0,23
2025-11-17;305;13,5;346,4;171,3;0,23
2025-11-17;306;13,6;346,6;176,6;0,24
2025-11-17;307;13,3;345,9;164,5;0,11
2025-11-18;303;15,6;352,2;212,0;0,2
2025-11-18;304;15,6;352,3;216,0;0,32
2025-11-18;305;15,7;352,4;204,1;0,26
2025-11-18;306;15,9;352,9;214,5;0,2
2025-11-18;307;16,0;353,2;205,9;0,15
2025-11-19;303;14,0;347,7;178,0;0,2
2025-11-19;304;14,0;348,0;186,3;0,27
2025-11-19;305;14,0;348,0;173,2;0,15
2025-11-19;306;14,3;348,6;179,9;0,21
2025-11-19;307;13,8;347,1;166,6;0,19
2025-11-20;303;15,4;351,7;209,1;0,12
2025-11-20;304;15,6;352,3;216,8;0,18
2025-11-20;305;15,4;351,7;199,2;0,11
2025-11-20;306;15,4;351,6;206,0;0,31
2025-11-20;307;15,1;350,7;188,6;0,22
2025-11-21;303;14,6;349,4;189,5;0,17
2025-11-21;304;14,5;349,1;189,4;0,28
2025-11-21;305;15,1;350,5;190,5;0,21
2025-11-21;306;14,8;350,0;189,8;0,31
2025-11-21;307;15,2;351,2;194,2;0,31
2025-11-22;303;14,5;349,0;183,3;0,32
2025-11-22;304;14,7;349,8;192,7;0,14
2025-11-22;305;14,6;349,5;185,9;0,16
2025-11-22;306;14,9;350,3;198,3;0,16
2025-11-22;307;14,3;348,7;170,3;0,23
2025-11-23;303;15,8;352,7;216,1;0,31
2025-11-23;304;16,0;353,2;228,2;0,31
2025-11-23;305;16,2;353,7;215,8;0,16
2025-11-23;306;15,8;352,8;216,6;0,19
2025-11-23;307;16,2;353,7;214,6;0,21
2025-11-24;303;14,0;348,0;175,1;0,28
2025-11-24;304;14,0;347,8;179,1;0,15
2025-11-24;305;14,0;347,7;171,2;0,18
2025-11-24;306;14,3;348,6;184,0;0,18
2025-11-24;307;14,3;348,4;170,5;0,18
2025-11-25;303;15,0;350,5;198,0;0,13
2025-11-25;304;15,0;350,6;202,1;0,22
2025-11-25;305;14,5;349,2;180,3;0,14
2025-11-25;306;15,1;350,6;201,6;0,23
2025-11-25;307;14,9;350,4;184,9;0,23
2025-11-26;303;13,4;346,3;172,0;0,25
2025-11-26;304;13,1;345,6;179,0;0,15
2025-11-26;305;13,0;345,2;167,0;0,32
2025-11-26;306;13,4;346,1;169,7;0,23
2025-11-26;307;13,4;346,4;163,4;0,19
2025-11-27;303;14,5;349,3;191,1;0,29
2025-11-27;304;14,2;348,4;184,1;0,24
2025-11-27;305;14,3;348,6;175,9;0,16
2025-11-27;306;14,1;348,0;177,7;0,2
2025-11-27;307;13,7;346,8;161,2;0,17
2025-11-28;303;15,4;351,6;208,3;0,2
2025-11-28;304;15,7;352,5;214,7;0,26
2025-11-28;305;15,9;352,8;208,9;0,21
2025-11-28;306;15,6;352,2;206,4;0,14
2025-11-28;307;15,7;352,4;201,0;0,24
2025-11-29;303;15,4;351,5;205,0;0,17
2025-11-29;304;15,4;351,7;211,9;0,21
2025-11-29;305;15,2;351,0;192,4;0,12
2025-11-29;306;15,8;352,7;219,6;0,14
2025-11-29;307;15,8;352,7;210,7;0,14
2025-11-30;303;15,1;350,8;196,6;0,12
2025-11-30;304;14,6;349,6;191,4;0,23
2025-11-30;305;15,0;350,5;191,3;0,22
2025-11-30;306;15,1;350,6;198,7;0,2
2025-11-30;307;14,8;349,9;178,3;0,13
2025-12-01;303;14,8;349,9;193,8;0,32
2025-12-01;304;14,8;349,9;199,3;0,24
2025-12-01;305;14,7;349,7;188,5;0,19
2025-12-01;306;14,9;350,3;194,3;0,25
2025-12-01;307;14,6;349,5;178,5;0,13
2025-12-02;303;15,0;350,5;197,8;0,28
2025-12-02;304;15,0;350,7;209,8;0,16
2025-12-02;305;14,8;349,7;187,3;0,26
2025-12-02;306;14,9;350,3;194,7;0,1
2025-12-02;307;15,0;350,5;187,1;0,21
2025-12-03;303;13,7;347,0;177,6;0,31
2025-12-03;304;13,7;347,1;181,1;0,19
2025-12-03;305;13,5;346,5;168,5;0,16
2025-12-03;306;13,9;347,7;178,7;0,31
2025-12-03;307;13,5;346,4;161,2;0,19
2025-12-04;303;13,5;346,4;172,1;0,24
2025-12-04;304;13,7;347,2;179,1;0,22
2025-12-04;305;13,5;346,5;168,4;0,25
2025-12-04;306;13,7;347,1;181,0;0,28
2025-12-04;307;13,5;346,4;168,3;0,25
2025-12-05;303;12,9;344,8;169,3;0,3
2025-12-05;304;13,8;347,3;184,6;0,19
2025-12-05;305;13,1;345,4;167,7;0,12
2025-12-05;306;13,1;345,4;169,4;0,29
2025-12-05;307;13,0;345,2;161,8;0,27
2025-12-06;303;14,5;349,2;186,0;0,22
2025-12-06;304;14,6;349,7;193,3;0,19
2025-12-06;305;14,5;349,0;177,1;0,15
2025-12-06;306;14,4;349,0;185,0;0,32
2025-12-06;307;14,5;349,0;180,3;0,29
2025-12-07;303;14,0;347,7;178,2;0,28
2025-12-07;304;14,2;348,6;186,4;0,16
2025-12-07;305;14,1;347,8;177,9;0,12
2025-12-07;306;13,8;347,2;174,4;0,18
2025-12-07;307;13,6;346,7;165,6;0,29
2025-12-08;303;14,9;350,2;190,3;0,14
2025-12-08;304;14,4;348,8;189,9;0,11
2025-12-08;305;14,4;349,0;180,7;0,23
2025-12-08;306;14,4;348,9;185,3;0,15
2025-12-08;307;14,1;348,2;168,4;0,23
2025-12-09;303;15,8;352,8;214,1;0,28
2025-12-09;304;15,9;352,9;222,4;0,11
2025-12-09;305;16,2;353,8;221,2;0,19
2025-12-09;306;16,3;354,1;225,7;0,17
2025-12-09;307;16,1;353,6;210,5;0,26
2025-12-10;303;14,0;347,8;178,7;0,2
2025-12-10;304;14,4;348,9;190,3;0,12
2025-12-10;305;14,5;350,4;762,4;0,11
2025-12-10;306;13,8;347,2;174,4;0,16
2025-12-10;307;14,1;348,1;171,2;0,21
2025-12-11;303;12,9;344,9;168,9;0,13
2025-12-11;304;12,9;344,8;179,8;0,31
2025-12-11;305;13,3;347,0;698,6;0,17
2025-12-11;306;13,3;345,8;175,3;0,21
2025-12-11;307;13,6;346,8;163,9;0,11
2025-12-12;303;13,2;345,6;174,7;0,2
2025-12-12;304;13,4;346,3;178,2;0,25
2025-12-12;305;13,4;347,3;702,0;0,19
2025-12-12;306;13,4;346,4;171,0;0,23
2025-12-12;307;13,3;345,9;160,8;0,17
2025-12-13;303;13,9;347,7;177,6;0,21
2025-12-13;304;14,7;349,8;193,3;0,15
2025-12-13;305;14,2;349,5;739,9;0,24
2025-12-13;306;14,2;348,5;183,3;0,15
2025-12-13;307;14,2;348,4;164,4;0,28
2025-12-14;303;15,4;351,8;200,4;0,18
2025-12-14;304;15,8;352,7;222,2;0,18
2025-12-14;305;15,7;353,5;832,5;0,17
2025-12-14;306;15,6;352,3;207,2;0,17
2025-12-14;307;15,5;351,9;198,0;0,23
2025-12-15;303;13,1;345,4;171,4;0,27
2025-12-15;304;13,5;346,7;178,1;0,26
2025-12-15;305;13,2;346,7;691,6;0,15
2025-12-15;306;13,5;346,5;168,9;0,22
2025-12-15;307;12,9;344,8;160,3;0,23
2025-12-16;303;14,8;350,0;194,7;0,25
2025-12-16;304;14,7;349,6;198,7;0,2
2025-12-16;305;15,0;351,6;789,0;0,29
2025-12-16;306;14,9;350,3;199,2;0,16
2025-12-16;307;14,4;349,0;171,5;0,29
2025-12-17;303;14,6;349,2;186,0;0,1
2025-12-17;304;15,1;350,9;206,8;0,13
2025-12-17;305;14,9;351,2;780,6;0,12
2025-12-17;306;15,1;350,7;203,1;0,27
2025-12-17;307;15,1;350,7;188,5;0,25
2025-12-18;303;13,8;347,3;177,0;0,2
2025-12-18;304;13,9;347,6;178,9;0,26
2025-12-18;305;14,5;350,2;761,6;0,23
2025-12-18;306;13,9;347,5;179,6;0,12
2025-12-18;307;13,9;347,6;166,2;0,17
2025-12-19;303;14,8;349,8;195,5;0,26
2025-12-19;304;14,9;350,3;202,8;0,13
2025-12-19;305;14,7;350,8;774,6;0,11
2025-12-19;306;14,6;349,5;188,4;0,11
2025-12-19;307;14,8;349,9;184,3;0,14
2025-12-20;303;15,8;352,5;219,3;0,21
2025-12-20;304;15,7;352,5;216,8;0,19
2025-12-20;305;15,3;352,5;804,4;0,27
2025-12-20;306;15,9;353,0;222,8;0,17
2025-12-20;307;15,7;352,3;204,5;0,12
2025-12-21;303;14,9;350,2;193,4;0,12
2025-12-21;304;14,7;349,8;193,2;0,13
2025-12-21;305;14,3;349,6;747,4;0,28
2025-12-21;306;14,5;349,3;192,2;0,17
2025-12-21;307;14,9;350,4;185,7;0,3
2025-12-22;303;14,5;349,3;186,5;0,16
2025-12-22;304;14,5;349,1;189,1;0,21
2025-12-22;305;13,9;348,8;719,5;0,19
